Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Abderrahmane Rebbach,,F M S,,23,,892,1,1,0,4,0,2.703960971906781,2.9706556648015976,Alaves
Aitor Mañas,,S,,6,,58,0,0,0,0,0,0.5702066421508789,0.0306509360671043,Alaves
Ander Guevara,,M S,,20,,517,1,0,0,2,1,0.6024258323013783,0.1165409386157989,Alaves
Antonio Blanco,,M,,28,,2426,1,2,0,7,0,0.7245643669739366,0.8403193764388561,Alaves
Antonio Martínez,,F S,,29,,2067,8,3,0,1,0,8.586508460342884,2.639205563813448,Alaves
Antonio Sivera,,GK,,30,,2700,0,0,0,2,0,0.0,0.0,Alaves
Calebe,,D F M S,,17,,742,0,0,0,2,0,0.1414615493267774,0.4210248803719878,Alaves
Carles Aleñá,,F M S,,30,,1877,0,4,0,4,0,2.1177457850426435,3.800553048960865,Alaves
Carlos Ballestero,,S,,1,,1,0,0,0,0,0,0.0,0.0,Alaves
Carlos Benavídez,,D S,,9,,234,0,0,0,0,1,0.2258257940411567,0.0830722209066152,Alaves
Carlos Vicente,,F M S,,21,,1250,5,0,3,1,0,3.714753158390522,3.857187973335385,Alaves
Denis Suárez,,M S,,22,,1061,1,1,0,5,0,1.328289536759257,1.3496616948395967,Alaves
Diego Morcillo,,S,,1,,8,0,0,0,0,0,0.5672497153282166,0.0,Alaves
Facundo Garcés,,D S,,10,,786,0,0,0,3,0,0.61756222974509,0.0,Alaves
Ibrahim Diabate,,F S,,2,,116,0,0,0,0,0,0.2025847807526588,0.0,Alaves
Jon Guridi,,F M S,,20,,737,0,0,0,1,0,1.2180069275200367,0.1250181142240762,Alaves
Jon Pacheco Dozagarat,,D S,,21,,1730,0,0,0,3,1,0.2430377919226884,0.7593822702765465,Alaves
Jonny,,D,,29,,2556,0,0,0,5,0,0.8223819062113762,1.1265473905950785,Alaves
Lander Pinillos,,S,,1,,1,0,0,0,0,0,0.0,0.0,Alaves
Lucas Boyé,,F M S,,24,,1764,10,1,3,2,1,10.48336954973638,2.599700415506959,Alaves
Mariano,,F S,,10,,269,0,0,0,1,0,0.2497823312878608,0.7592702507972717,Alaves
Moussa Diarra,,D,,3,,225,0,0,0,1,0,0.0,0.0150750838220119,Alaves
Nahuel Tenaglia,,D,,28,,2520,1,0,0,2,0,1.364607154391706,0.2647302877157926,Alaves
Pablo Ibáñez,,M S,,29,,1858,1,1,0,5,0,3.5098915323615074,1.0418870076537132,Alaves
Victor Parada,,D S,,22,,1513,0,3,0,6,1,1.3966120490804317,2.3470336636528373,Alaves
Ville Koski,,S,,2,,11,0,0,0,0,0,0.0,0.0,Alaves
Youssef Lekhedim,,D S,,22,,1194,0,1,0,5,0,0.7701235758140683,2.1280921027064323,Alaves
Ángel Pérez,,D M S,,8,,579,1,1,0,1,0,0.6904677208513021,0.7895076274871826,Alaves
Adama Boiro,,D S,,9,,597,0,0,0,1,0,0.0368569269776344,0.1399121209979057,Athletic Club
Aitor Paredes,,D S,,17,,1445,1,0,0,4,0,1.343791265040636,0.7405439838767052,Athletic Club
Alejandro Rego,,M S,,21,,807,1,0,0,5,0,0.5154665904119611,0.4051173590123653,Athletic Club
Alex Berenguer,,F M S,,25,,1888,2,3,0,4,0,4.924537650309503,5.293281830847263,Athletic Club
Andoni Gorosabel,,D S,,16,,815,0,1,0,2,0,0.2154859928414225,0.4473420679569244,Athletic Club
Asier Hierro,,S,,1,,30,0,0,0,0,0,0.0869530513882637,0.0195711869746446,Athletic Club
Aymeric Laporte,,D S,,19,,1582,0,1,0,2,0,1.7030628975480795,0.4414121750742197,Athletic Club
Beñat Prados,,M S,,2,,87,0,0,0,1,0,0.0202444195747375,0.03657878190279,Athletic Club
Dani Vivian,,D S,,25,,2190,1,0,0,8,1,1.366984797641635,1.5774906277656555,Athletic Club
Eder García,,S,,2,,30,0,0,0,1,0,0.0365744195878505,0.0,Athletic Club
Gorka Guruzeta,,F M S,,27,,1762,6,1,1,2,1,8.9389584697783,2.79004822857678,Athletic Club
Inigo Ruiz de Galarreta,,M S,,27,,1819,1,1,0,11,0,0.533484579063952,2.6452022967860103,Athletic Club
Iñaki Williams,,F M S,,22,,1590,2,4,1,1,0,6.0622158739715815,2.766031127423048,Athletic Club
Jesús Areso,,D S,,24,,1412,0,1,0,3,0,0.095483249053359,1.526359448209405,Athletic Club
Maroan Sannadi,,F S,,9,,264,1,0,0,2,0,1.0051096249371767,0.5883069485425949,Athletic Club
Mikel Jauregizar,,M S,,29,,2364,2,0,0,4,0,1.089722279459238,1.2458198824897408,Athletic Club
Mikel Vesga,,M S,,20,,364,0,0,0,0,0,0.1971089020371437,0.1244056141003966,Athletic Club
Nico Williams,,M S,,20,,1378,4,2,1,1,0,4.948663843795657,3.91133791860193,Athletic Club
Nicolás Serrano,,M S,,13,,322,1,0,0,0,0,0.5777395609766245,0.4942029751837253,Athletic Club
Oihan Sancet,,M S,,23,,1603,3,0,2,4,1,6.669009603559971,1.3745818119496107,Athletic Club
Roberto Navarro,,M S,,24,,855,5,1,0,1,0,3.0039532454684377,1.3722321689128876,Athletic Club
Selton Sánchez,,M S,,7,,191,0,1,0,0,0,0.2842219620943069,0.1571777909994125,Athletic Club
Unai Gómez,,F M S,,20,,607,1,1,0,1,1,1.4200693126767874,0.6146819815039635,Athletic Club
